date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:39	34976/34976	---MCZ	200	added ('OK')	text/html	etag:192f0b4edd4824d11c7e62e3f5a25c2e	https://ahimms90.com/services	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/ahimms90.com/services.html	(from )
13:01:39	35606/35606	---MCZ	200	added ('OK')	text/html	etag:d9b61e215a5dc6ae2da71d179ddc5660	https://ahimms90.com/	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/ahimms90.com/index.html	(from )
13:01:39	36850/36850	---MCZ	200	added ('OK')	text/html	etag:c67f974b68de26047a3c1b55ec694b22	https://ahimms90.com/about-us	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/ahimms90.com/about-us.html	(from )
13:01:40	44832/44832	---MCZ	200	added ('OK')	text/html	etag:083852773551e7307856a3afcae84441	https://ahimms90.com/contact-us	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/ahimms90.com/contact-us.html	(from )
13:01:40	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://ahimms90.com/robots.txt		(from )
13:01:41	2951/2951	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b321707adeb8d327454f3b8058d0a3fd%22	http://img1.wsimg.com/blobby/go/gpub/28183fd5dc83bd86/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/gpub/28183fd5dc83bd86/script.js	(from https://ahimms90.com/)
13:01:42	5511/5511	---M-Z	200	added ('OK')	text/css	etag:W/%22226bdc09a04bca332683f763a8af3164%22	http://img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/e2724dbdf43d5d08/styles.css	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/e2724dbdf43d5d08/styles.css	(from https://ahimms90.com/)
13:01:42	165503/165503	---M-Z	200	added ('OK')	text/javascript	etag:W/%22b88a-GG9OjUlFofMoYo/kpIRMSj85UKg%22	https://img1.wsimg.com/poly/v2/polyfill.min.js?unknown=polyfill&flags=gated&features=default%2Cfetch%2CArray.prototype.%40%40iterator%2CArray.prototype.find%2CArray.prototype.findIndex%2CFunction.name%2CNumber.isFinite%2CPromise%2CString.prototype.repeat%2CMath.sign%2CMath.trunc%2CArray.prototype.includes%2CObject.entries%2CObject.values%2CIntersectionObserver%2CIntl.~locale.en-US	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/poly/v2/polyfill.min075c.js	(from https://ahimms90.com/)
13:01:42	5868/5868	---M-Z	200	added ('OK')	text/css	etag:W/%22e9387cdd90a7157a80865f108cbefbad%22	http://img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/96e3cb6a15d1916e/styles.css	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/96e3cb6a15d1916e/styles.css	(from https://ahimms90.com/)
13:01:43	1777/1777	---M-Z	200	added ('OK')	text/css	etag:W/%228c11495e8a6ecb1b965bd6029271e55b%22	http://img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/3299415044f5ba72/styles.css	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/3299415044f5ba72/styles.css	(from https://ahimms90.com/)
13:01:44	11012/11012	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f00542ee95bbe8ab88a1d9e77b8510df%22	http://img1.wsimg.com/blobby/go/gpub/eba23cd11ac6e2d8/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/gpub/eba23cd11ac6e2d8/script.js	(from https://ahimms90.com/)
13:01:45	1512/1512	---M-Z	200	added ('OK')	application/javascript	etag:W/%2229836599d8eb65ed9f63dff2fa1dba1c%22	http://img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/3abfb527df085204/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/3abfb527df085204/script.js	(from https://ahimms90.com/)
13:01:45	4462/4462	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a4cdc5f1df8d45ea83210b37963ce86d%22	http://img1.wsimg.com/blobby/go/gpub/d40440603775d41f/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/gpub/d40440603775d41f/script.js	(from https://ahimms90.com/)
13:01:45	1508/1508	---M-Z	200	added ('OK')	application/javascript	etag:W/%2237f7aa551117f56322cdb3978424e761%22	http://img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/e930ced7a6f0330f/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/5ce0d1a0-298f-429b-a71f-9008fcc70bea/gpub/e930ced7a6f0330f/script.js	(from https://ahimms90.com/)
13:01:47	21037/21037	---M-Z	200	added ('OK')	application/javascript	etag:W/%2204c2d70d181a90e2174481fdeeede752%22	http://img1.wsimg.com/blobby/go/gpub/f955f3519bc607c/script.js	C:/Users/trahman/Documents/My%20Web%20Sites/ahimms90/img1.wsimg.com/blobby/go/gpub/f955f3519bc607c/script.js	(from https://ahimms90.com/)
